Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pop-up Alert,Chrome 121.0.0.0,,,2024-02-19 21:31:52,2024-02-19 21:36:06,"4m - 14,048s",PASSED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 121.0.0.0,,,2024-02-19 21:31:52,2024-02-19 21:32:05,"12,112s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-02-19 21:31:53,2024-02-19 21:31:54,"1,549s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 121.0.0.0,,,2024-02-19 21:31:54,2024-02-19 21:31:55,"0,951s",PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,2024-02-19 21:31:55,2024-02-19 21:31:55,"0,107s",PASSED
maximizeWindow(),Chrome 121.0.0.0,,,2024-02-19 21:31:55,2024-02-19 21:31:56,"0,137s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 121.0.0.0,,,2024-02-19 21:31:56,2024-02-19 21:31:56,"0,802s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 121.0.0.0,,,2024-02-19 21:31:56,2024-02-19 21:31:57,"0,291s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.1 (stage/11)"")",Chrome 121.0.0.0,,,2024-02-19 21:31:57,2024-02-19 21:31:57,"0,287s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 121.0.0.0,,,2024-02-19 21:31:57,2024-02-19 21:31:58,"0,614s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 121.0.0.0,,,2024-02-19 21:31:58,2024-02-19 21:31:58,"0,354s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 121.0.0.0,,,2024-02-19 21:31:58,2024-02-19 21:31:58,"0,344s",PASSED
delay(4),Chrome 121.0.0.0,,,2024-02-19 21:31:58,2024-02-19 21:32:02,"4,021s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 121.0.0.0,,,2024-02-19 21:32:02,2024-02-19 21:32:03,"0,281s",PASSED
,,,,,,,
Test Cases/Pop-up alert/Send alert using Compose Alert Button (TC-1),Chrome 121.0.0.0,"open Create Pop-up Alert page, using Compose Alert button",,2024-02-19 21:32:05,2024-02-19 21:32:52,"47,845s",PASSED
"click(findTestObject(""Dashboard Page/Compose Alert Button""))",Chrome 121.0.0.0,,,2024-02-19 21:32:05,2024-02-19 21:32:05,"0,363s",PASSED
"verifyElementPresent(findTestObject(""Create Pop-up Alert Page/Create Pop-up Alert header""), 2)",Chrome 121.0.0.0,,,2024-02-19 21:32:05,2024-02-19 21:32:08,"3,023s",PASSED
"verifyElementText(findTestObject(""Create Pop-up Alert Page/Create Pop-up Alert header""), ""Create Pop-up Alert"")",Chrome 121.0.0.0,,,2024-02-19 21:32:08,2024-02-19 21:32:08,"0,272s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 121.0.0.0,,,2024-02-19 21:32:08,2024-02-19 21:32:09,"0,389s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Filter field""))",Chrome 121.0.0.0,,,2024-02-19 21:32:09,2024-02-19 21:32:09,"0,436s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Filter field""), ""LAPTOP-E6BU4LL9"")",Chrome 121.0.0.0,,,2024-02-19 21:32:09,2024-02-19 21:32:11,"1,303s",PASSED
