Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallpapers,Chrome 121.0.0.0,,,2024-02-21 14:28:22,2024-02-21 14:37:11,"8m - 49,176s",PASSED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 121.0.0.0,,,2024-02-21 14:28:22,2024-02-21 14:28:42,"20,134s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-02-21 14:28:22,2024-02-21 14:28:25,"2,355s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 121.0.0.0,,,2024-02-21 14:28:25,2024-02-21 14:28:32,"7,236s",PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,2024-02-21 14:28:32,2024-02-21 14:28:32,"0,182s",PASSED
maximizeWindow(),Chrome 121.0.0.0,,,2024-02-21 14:28:32,2024-02-21 14:28:32,"0,198s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:28:32,2024-02-21 14:28:33,"0,869s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:28:33,2024-02-21 14:28:34,"0,326s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.1 (stage/11)"")",Chrome 121.0.0.0,,,2024-02-21 14:28:34,2024-02-21 14:28:34,"0,344s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 121.0.0.0,,,2024-02-21 14:28:34,2024-02-21 14:28:35,"0,731s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 121.0.0.0,,,2024-02-21 14:28:35,2024-02-21 14:28:35,"0,458s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 121.0.0.0,,,2024-02-21 14:28:35,2024-02-21 14:28:35,"0,413s",PASSED
delay(4),Chrome 121.0.0.0,,,2024-02-21 14:28:35,2024-02-21 14:28:40,"4,052s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 121.0.0.0,,,2024-02-21 14:28:40,2024-02-21 14:28:40,"0,317s",PASSED
,,,,,,,
Test Cases/Wallpapers/Send Wallpaper JPG (TC-15),Chrome 121.0.0.0,send wallpaper using compose alert drop-down menu,,2024-02-21 14:28:42,2024-02-21 14:31:16,"2m - 34,548s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 121.0.0.0,,,2024-02-21 14:28:42,2024-02-21 14:28:42,"0,375s",PASSED
"click(findTestObject(""Dashboard Page/Wallpapers""))",Chrome 121.0.0.0,,,2024-02-21 14:28:42,2024-02-21 14:28:43,"0,548s",PASSED
"verifyElementText(findTestObject(""Wallpapers/Create Wallpaper Header""), ""Create Wallpaper"")",Chrome 121.0.0.0,,,2024-02-21 14:28:43,2024-02-21 14:28:44,"0,954s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 121.0.0.0,,,2024-02-21 14:28:44,2024-02-21 14:28:44,"0,431s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-21 14:28:44,2024-02-21 14:28:53,"8,430s",PASSED
