Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Video Alerts,Chrome 121.0.0.0,,,2024-02-21 22:58:07,2024-02-21 23:01:55,"3m - 47,170s",PASSED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 121.0.0.0,,,2024-02-21 22:58:08,2024-02-21 22:58:20,"12,617s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-02-21 22:58:08,2024-02-21 22:58:10,"1,678s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 121.0.0.0,,,2024-02-21 22:58:10,2024-02-21 22:58:11,"0,947s",PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,2024-02-21 22:58:11,2024-02-21 22:58:11,"0,094s",PASSED
maximizeWindow(),Chrome 121.0.0.0,,,2024-02-21 22:58:11,2024-02-21 22:58:11,"0,171s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 121.0.0.0,,,2024-02-21 22:58:11,2024-02-21 22:58:12,"0,816s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 121.0.0.0,,,2024-02-21 22:58:12,2024-02-21 22:58:12,"0,289s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.1 (stage/11)"")",Chrome 121.0.0.0,,,2024-02-21 22:58:12,2024-02-21 22:58:12,"0,319s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 121.0.0.0,,,2024-02-21 22:58:12,2024-02-21 22:58:13,"0,644s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 121.0.0.0,,,2024-02-21 22:58:13,2024-02-21 22:58:13,"0,391s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 121.0.0.0,,,2024-02-21 22:58:13,2024-02-21 22:58:14,"0,354s",PASSED
delay(4),Chrome 121.0.0.0,,,2024-02-21 22:58:14,2024-02-21 22:58:18,"4,024s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 121.0.0.0,,,2024-02-21 22:58:18,2024-02-21 22:58:18,"0,352s",PASSED
,,,,,,,
Test Cases/Video Alerts/Send Video Alert with MP4 (TC-43),Chrome 121.0.0.0,,,2024-02-21 22:58:20,2024-02-21 22:59:20,"1m - 0,300s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 121.0.0.0,,,2024-02-21 22:58:20,2024-02-21 22:58:21,"0,400s",PASSED
"click(findTestObject(""Dashboard Page/Video Alerts""))",Chrome 121.0.0.0,,,2024-02-21 22:58:21,2024-02-21 22:58:21,"0,524s",PASSED
"verifyElementText(findTestObject(""Wallpapers/Create Wallpaper Header""), ""Create Video Alert"")",Chrome 121.0.0.0,,,2024-02-21 22:58:21,2024-02-21 22:58:24,"2,568s",PASSED
"click(findTestObject(""Video Alert/Videoalert more btn""))",Chrome 121.0.0.0,,,2024-02-21 22:58:24,2024-02-21 22:58:24,"0,426s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-21 22:58:24,2024-02-21 22:58:34,"9,332s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-43"")",Chrome 121.0.0.0,,,2024-02-21 22:58:34,2024-02-21 22:58:35,"1,075s",PASSED
"verifyElementPresent(findTestObject(""Video Alert/Videoalert upload area""), 2)",Chrome 121.0.0.0,,,2024-02-21 22:58:35,2024-02-21 22:58:35,"0,339s",PASSED
"uploadFileWithDragAndDrop(findTestObject(""Video Alert/Videoalert upload area""), ""C:\Users\Home\git\Katalon\video\rabbit.mp4"")",Chrome 121.0.0.0,,,2024-02-21 22:58:35,2024-02-21 22:58:36,"0,525s",PASSED
delay(5),Chrome 121.0.0.0,,,2024-02-21 22:58:36,2024-02-21 22:58:41,"5,021s",PASSED
"getAttribute(findTestObject(""Video alerts/uploaded video file""), ""src"")",Chrome 121.0.0.0,,,2024-02-21 22:58:41,2024-02-21 22:58:41,"0,394s",PASSED
"click(findTestObject(""Video alerts/Video alert description""))",Chrome 121.0.0.0,,,2024-02-21 22:58:41,2024-02-21 22:58:41,"0,417s",PASSED
"setText(findTestObject(""Video alerts/Video alert description""), ""Hello! This is automated MP4 video alert from Katalon"")",Chrome 121.0.0.0,,,2024-02-21 22:58:41,2024-02-21 22:58:43,"1,700s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 121.0.0.0,,,2024-02-21 22:58:43,2024-02-21 22:58:44,"0,604s",PASSED
waitForPageLoad(2),Chrome 121.0.0.0,,,2024-02-21 22:58:44,2024-02-21 22:58:44,"0,033s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-43"")",Chrome 121.0.0.0,,,2024-02-21 22:58:44,2024-02-21 22:58:46,"1,718s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-43"")",Chrome 121.0.0.0,,,2024-02-21 22:58:46,2024-02-21 22:58:46,"0,382s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-21 22:58:46,2024-02-21 22:58:46,"0,006s",NOT_RUN
"mouseOver(findTestObject(""Pop-up Alerts page/Stop-Start alert""))",Chrome 121.0.0.0,,,2024-02-21 22:58:46,2024-02-21 22:58:46,"0,004s",NOT_RUN
"click(findTestObject(""Pop-up Alerts page/Stop-Start alert""))",Chrome 121.0.0.0,,,2024-02-21 22:58:46,2024-02-21 22:58:46,"0,007s",NOT_RUN
"verifyElementPresent(findTestObject(""Pop-up Alerts page/Stopped status""), 2)",Chrome 121.0.0.0,,,2024-02-21 22:58:46,2024-02-21 22:58:46,"0,006s",NOT_RUN
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-21 22:58:46,2024-02-21 22:58:47,"1,139s",PASSED
"click(findTestObject(""Pop-up Alerts page/View graph""))",Chrome 121.0.0.0,,,2024-02-21 22:58:47,2024-02-21 22:58:48,"0,569s",PASSED
"takeElementScreenshot(findTestObject(""Pop-up Alerts page/View graph image""))",Chrome 121.0.0.0,,,2024-02-21 22:58:48,2024-02-21 22:58:49,"1,612s",PASSED
"click(findTestObject(""Pop-up Alerts page/view graph close btn""))",Chrome 121.0.0.0,,,2024-02-21 22:58:49,2024-02-21 22:58:50,"0,407s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-21 22:58:50,2024-02-21 22:58:50,"0,769s",PASSED
"click(findTestObject(""Pop-up Alerts page/Preview in actions menu""))",Chrome 121.0.0.0,,,2024-02-21 22:58:50,2024-02-21 22:58:52,"1,151s",PASSED
"switchToFrame(findTestObject(""Create Pop-up Alert Page/Preview alert iframe""), 2)",Chrome 121.0.0.0,,,2024-02-21 22:58:52,2024-02-21 22:58:53,"1,069s",PASSED
takeFullPageScreenshot([]),Chrome 121.0.0.0,,,2024-02-21 22:58:53,2024-02-21 22:58:54,"1,107s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/close alert preview""))",Chrome 121.0.0.0,,,2024-02-21 22:58:54,2024-02-21 22:58:54,"0,242s",PASSED
switchToDefaultContent(),Chrome 121.0.0.0,,,2024-02-21 22:58:54,2024-02-21 22:58:54,"0,027s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-21 22:58:54,2024-02-21 22:58:55,"0,537s",PASSED
"click(findTestObject(""Pop-up Alerts page/Duplicate alert""))",Chrome 121.0.0.0,,,2024-02-21 22:58:55,2024-02-21 22:58:55,"0,761s",PASSED
"sendKeys(findTestObject(""Create Pop-up Alert Page/Alert Title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 121.0.0.0,,,2024-02-21 22:58:55,2024-02-21 22:58:58,"2,525s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""Duplicate video alert"")",Chrome 121.0.0.0,,,2024-02-21 22:58:58,2024-02-21 22:58:59,"1,404s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 121.0.0.0,,,2024-02-21 22:58:59,2024-02-21 22:59:00,"0,439s",PASSED
waitForPageLoad(2),Chrome 121.0.0.0,,,2024-02-21 22:59:00,2024-02-21 22:59:00,"0,031s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-43"")",Chrome 121.0.0.0,,,2024-02-21 22:59:00,2024-02-21 22:59:02,"1,938s",PASSED
waitForPageLoad(2),Chrome 121.0.0.0,,,2024-02-21 22:59:02,2024-02-21 22:59:02,"0,025s",PASSED
"waitForElementClickable(findTestObject(""Survey/3dots Actions""), 2)",Chrome 121.0.0.0,,,2024-02-21 22:59:02,2024-02-21 22:59:02,"0,453s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-21 22:59:02,2024-02-21 22:59:03,"1,016s",PASSED
"waitForElementClickable(findTestObject(""Pop-up Alerts page/resend alert from actions menu""), 2)",Chrome 121.0.0.0,,,2024-02-21 22:59:03,2024-02-21 22:59:04,"0,496s",PASSED
"click(findTestObject(""Pop-up Alerts page/resend alert from actions menu""))",Chrome 121.0.0.0,,,2024-02-21 22:59:04,2024-02-21 22:59:04,"0,691s",PASSED
"click(findTestObject(""Pop-up Alerts page/Resend btn""))",Chrome 121.0.0.0,,,2024-02-21 22:59:04,2024-02-21 22:59:05,"0,541s",PASSED
"sendKeys(findTestObject(""Pop-up Alerts page/Search by title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 121.0.0.0,,,2024-02-21 22:59:05,2024-02-21 22:59:06,"1,553s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-43"")",Chrome 121.0.0.0,,,2024-02-21 22:59:06,2024-02-21 22:59:08,"1,708s",PASSED
"verifyElementClickable(findTestObject(""Pop-up Alerts page/Select all checkbox""))",Chrome 121.0.0.0,,,2024-02-21 22:59:08,2024-02-21 22:59:09,"0,404s",PASSED
"check(findTestObject(""Pop-up Alerts page/Select all checkbox""))",Chrome 121.0.0.0,,,2024-02-21 22:59:09,2024-02-21 22:59:10,"1,233s",PASSED
"verifyElementChecked(findTestObject(""Pop-up Alerts page/Select all checkbox""), 1)",Chrome 121.0.0.0,,,2024-02-21 22:59:10,2024-02-21 22:59:10,"0,470s",PASSED
"click(findTestObject(""Pop-up Alerts page/delete all""))",Chrome 121.0.0.0,,,2024-02-21 22:59:10,2024-02-21 22:59:11,"0,618s",PASSED
