Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RSVP Alert,Chrome 121.0.0.0,,,2024-02-26 09:05:40,2024-02-26 09:08:13,"2m - 32,930s",PASSED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 121.0.0.0,,,2024-02-26 09:05:40,2024-02-26 09:05:53,"12,893s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-02-26 09:05:41,2024-02-26 09:05:43,"1,781s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 121.0.0.0,,,2024-02-26 09:05:43,2024-02-26 09:05:44,"1,069s",PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,2024-02-26 09:05:44,2024-02-26 09:05:44,"0,148s",PASSED
maximizeWindow(),Chrome 121.0.0.0,,,2024-02-26 09:05:44,2024-02-26 09:05:44,"0,147s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:05:44,2024-02-26 09:05:45,"0,799s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:05:45,2024-02-26 09:05:45,"0,293s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.1 (stage/11)"")",Chrome 121.0.0.0,,,2024-02-26 09:05:45,2024-02-26 09:05:45,"0,315s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 121.0.0.0,,,2024-02-26 09:05:45,2024-02-26 09:05:46,"0,658s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 121.0.0.0,,,2024-02-26 09:05:46,2024-02-26 09:05:46,"0,418s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 121.0.0.0,,,2024-02-26 09:05:46,2024-02-26 09:05:47,"0,382s",PASSED
delay(4),Chrome 121.0.0.0,,,2024-02-26 09:05:47,2024-02-26 09:05:51,"4,037s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 121.0.0.0,,,2024-02-26 09:05:51,2024-02-26 09:05:51,"0,286s",PASSED
,,,,,,,
Test Cases/RSVP/Send RSVP (TC-12),Chrome 121.0.0.0,,,2024-02-26 09:05:53,2024-02-26 09:07:23,"1m - 30,327s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 121.0.0.0,,,2024-02-26 09:05:53,2024-02-26 09:05:54,"0,363s",PASSED
"click(findTestObject(""Dashboard Page/RSVP""))",Chrome 121.0.0.0,,,2024-02-26 09:05:54,2024-02-26 09:05:54,"0,505s",PASSED
"verifyElementText(findTestObject(""Create RSVP/Create RSVP Alert Header""), ""Create RSVP Alert"")",Chrome 121.0.0.0,,,2024-02-26 09:05:54,2024-02-26 09:05:57,"3,158s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 121.0.0.0,,,2024-02-26 09:05:57,2024-02-26 09:05:58,"0,420s",PASSED
