Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Surveys,Chrome 122.0.0.0,,,29-02-2024 11:04:43,29-02-2024 11:13:54,"9m - 11,391s",PASSED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 122.0.0.0,,,29-02-2024 11:04:43,29-02-2024 11:04:56,"13,014s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,29-02-2024 11:04:43,29-02-2024 11:04:46,"2,262s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 122.0.0.0,,,29-02-2024 11:04:46,29-02-2024 11:04:47,"0,904s",PASSED
waitForPageLoad(3),Chrome 122.0.0.0,,,29-02-2024 11:04:47,29-02-2024 11:04:47,"0,126s",PASSED
maximizeWindow(),Chrome 122.0.0.0,,,29-02-2024 11:04:47,29-02-2024 11:04:47,"0,150s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:04:47,29-02-2024 11:04:48,"0,799s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:04:48,29-02-2024 11:04:48,"0,290s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.1 (stage/11)"")",Chrome 122.0.0.0,,,29-02-2024 11:04:48,29-02-2024 11:04:48,"0,315s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 122.0.0.0,,,29-02-2024 11:04:48,29-02-2024 11:04:49,"0,652s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 122.0.0.0,,,29-02-2024 11:04:49,29-02-2024 11:04:49,"0,376s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 122.0.0.0,,,29-02-2024 11:04:49,29-02-2024 11:04:50,"0,340s",PASSED
delay(4),Chrome 122.0.0.0,,,29-02-2024 11:04:50,29-02-2024 11:04:54,"4,033s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 122.0.0.0,,,29-02-2024 11:04:54,29-02-2024 11:04:54,"0,299s",PASSED
,,,,,,,
Test Cases/Surveys-Quizz-Poll/Send Survey with one question and single choice(TC-25),Chrome 122.0.0.0,,,29-02-2024 11:04:56,29-02-2024 11:05:58,"1m - 1,524s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 122.0.0.0,,,29-02-2024 11:04:56,29-02-2024 11:04:57,"0,350s",PASSED
"click(findTestObject(""Dashboard Page/Survey-Quizz-Poll""))",Chrome 122.0.0.0,,,29-02-2024 11:04:57,29-02-2024 11:04:57,"0,601s",PASSED
"check(findTestObject(""Survey/Classic survey radio button""))",Chrome 122.0.0.0,,,29-02-2024 11:04:57,29-02-2024 11:05:00,"2,820s",PASSED
"click(findTestObject(""Survey/More btn""))",Chrome 122.0.0.0,,,29-02-2024 11:05:00,29-02-2024 11:05:01,"0,643s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 11:05:01,29-02-2024 11:05:08,"7,778s",PASSED
