Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lockscreens,Chrome 122.0.0.0,,,04-03-2024 17:50:49,04-03-2024 17:53:34,"2m - 45,284s",PASSED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 122.0.0.0,,,04-03-2024 17:50:49,04-03-2024 17:51:01,"11,885s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 17:50:50,04-03-2024 17:50:51,"1,393s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 122.0.0.0,,,04-03-2024 17:50:51,04-03-2024 17:50:52,"0,972s",PASSED
waitForPageLoad(3),Chrome 122.0.0.0,,,04-03-2024 17:50:52,04-03-2024 17:50:52,"0,091s",PASSED
maximizeWindow(),Chrome 122.0.0.0,,,04-03-2024 17:50:52,04-03-2024 17:50:52,"0,141s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 122.0.0.0,,,04-03-2024 17:50:52,04-03-2024 17:50:53,"0,723s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 122.0.0.0,,,04-03-2024 17:50:53,04-03-2024 17:50:53,"0,279s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.1 (stage/11)"")",Chrome 122.0.0.0,,,04-03-2024 17:50:53,04-03-2024 17:50:54,"0,292s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 122.0.0.0,,,04-03-2024 17:50:54,04-03-2024 17:50:54,"0,609s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 122.0.0.0,,,04-03-2024 17:50:54,04-03-2024 17:50:55,"0,346s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 122.0.0.0,,,04-03-2024 17:50:55,04-03-2024 17:50:55,"0,302s",PASSED
delay(4),Chrome 122.0.0.0,,,04-03-2024 17:50:55,04-03-2024 17:50:59,"4,024s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 122.0.0.0,,,04-03-2024 17:50:59,04-03-2024 17:50:59,"0,268s",PASSED
,,,,,,,
Test Cases/Lockscreens/Send Lockscreen JPG (TC-20),Chrome 122.0.0.0,,,04-03-2024 17:51:01,04-03-2024 17:51:47,"45,774s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 122.0.0.0,,,04-03-2024 17:51:01,04-03-2024 17:51:02,"0,328s",PASSED
"click(findTestObject(""Dashboard Page/Lockscreens""))",Chrome 122.0.0.0,,,04-03-2024 17:51:02,04-03-2024 17:51:02,"0,571s",PASSED
"verifyElementText(findTestObject(""Lockscreen/Create Lockscreen header""), ""Create Lockscreen"")",Chrome 122.0.0.0,,,04-03-2024 17:51:02,04-03-2024 17:51:03,"0,523s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 122.0.0.0,,,04-03-2024 17:51:03,04-03-2024 17:51:03,"0,571s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,04-03-2024 17:51:03,04-03-2024 17:51:11,"7,536s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-20"")",Chrome 122.0.0.0,,,04-03-2024 17:51:11,04-03-2024 17:51:12,"0,847s",PASSED
"verifyElementPresent(findTestObject(""Wallpapers/Upload wallpaper area""), 2)",Chrome 122.0.0.0,,,04-03-2024 17:51:12,04-03-2024 17:51:12,"0,258s",PASSED
"uploadFileWithDragAndDrop(findTestObject(""Wallpapers/Upload wallpaper area""), ""C:\Users\Home\git\Katalon\Imagesfortest\river.jpg"")",Chrome 122.0.0.0,,,04-03-2024 17:51:12,04-03-2024 17:51:12,"0,318s",PASSED
delay(10),Chrome 122.0.0.0,,,04-03-2024 17:51:12,04-03-2024 17:51:22,"10,005s",PASSED
"getAttribute(findTestObject(""Wallpapers/uploaded wallpaper file""), ""src"")",Chrome 122.0.0.0,,,04-03-2024 17:51:22,04-03-2024 17:51:23,"0,287s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 122.0.0.0,,,04-03-2024 17:51:23,04-03-2024 17:51:23,"0,319s",PASSED
waitForPageLoad(2),Chrome 122.0.0.0,,,04-03-2024 17:51:23,04-03-2024 17:51:23,"0,015s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-20"")",Chrome 122.0.0.0,,,04-03-2024 17:51:23,04-03-2024 17:51:25,"1,568s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-20"")",Chrome 122.0.0.0,,,04-03-2024 17:51:25,04-03-2024 17:51:25,"0,260s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Actions menu Wallpapers-Lockscreens-Screensaver""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,04-03-2024 17:51:25,04-03-2024 17:51:33,"8,381s",PASSED
"sendKeys(findTestObject(""Create Pop-up Alert Page/Alert Title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 122.0.0.0,,,04-03-2024 17:51:33,04-03-2024 17:51:34,"0,643s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""Duplicate Lockscreen"")",Chrome 122.0.0.0,,,04-03-2024 17:51:34,04-03-2024 17:51:35,"1,215s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 122.0.0.0,,,04-03-2024 17:51:35,04-03-2024 17:51:36,"0,524s",PASSED
