Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Screensavers,Chrome 122.0.0.0,,,05-03-2024 17:39:57,05-03-2024 17:43:47,"3m - 49,840s",FAILED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 122.0.0.0,,,05-03-2024 17:39:57,05-03-2024 17:40:09,"12,218s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 17:39:57,05-03-2024 17:39:59,"1,650s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 122.0.0.0,,,05-03-2024 17:39:59,05-03-2024 17:40:00,"0,871s",PASSED
waitForPageLoad(3),Chrome 122.0.0.0,,,05-03-2024 17:40:00,05-03-2024 17:40:00,"0,113s",PASSED
maximizeWindow(),Chrome 122.0.0.0,,,05-03-2024 17:40:00,05-03-2024 17:40:00,"0,138s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 122.0.0.0,,,05-03-2024 17:40:00,05-03-2024 17:40:01,"0,802s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 122.0.0.0,,,05-03-2024 17:40:01,05-03-2024 17:40:01,"0,278s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.2 (stage/11)"")",Chrome 122.0.0.0,,,05-03-2024 17:40:01,05-03-2024 17:40:02,"0,283s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 122.0.0.0,,,05-03-2024 17:40:02,05-03-2024 17:40:02,"0,637s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 122.0.0.0,,,05-03-2024 17:40:02,05-03-2024 17:40:03,"0,350s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 122.0.0.0,,,05-03-2024 17:40:03,05-03-2024 17:40:03,"0,328s",PASSED
delay(4),Chrome 122.0.0.0,,,05-03-2024 17:40:03,05-03-2024 17:40:07,"4,029s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 122.0.0.0,,,05-03-2024 17:40:07,05-03-2024 17:40:07,"0,291s",PASSED
,,,,,,,
Test Cases/Screensaver/Send Screensaver JPG (TC-36),Chrome 122.0.0.0,,,05-03-2024 17:40:09,05-03-2024 17:40:57,"47,457s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 122.0.0.0,,,05-03-2024 17:40:09,05-03-2024 17:40:10,"0,393s",PASSED
"click(findTestObject(""Dashboard Page/Screensavers""))",Chrome 122.0.0.0,,,05-03-2024 17:40:10,05-03-2024 17:40:10,"0,574s",PASSED
