Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Publisher,Chrome 122.0.0.0,,,15-03-2024 19:00:45,15-03-2024 19:02:33,"1m - 47,566s",PASSED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 122.0.0.0,,,15-03-2024 19:00:45,15-03-2024 19:00:57,"12,031s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,15-03-2024 19:00:46,15-03-2024 19:00:47,"1,541s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 122.0.0.0,,,15-03-2024 19:00:47,15-03-2024 19:00:48,"0,827s",PASSED
waitForPageLoad(3),Chrome 122.0.0.0,,,15-03-2024 19:00:48,15-03-2024 19:00:48,"0,115s",PASSED
maximizeWindow(),Chrome 122.0.0.0,,,15-03-2024 19:00:48,15-03-2024 19:00:48,"0,151s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 122.0.0.0,,,15-03-2024 19:00:48,15-03-2024 19:00:49,"0,729s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 122.0.0.0,,,15-03-2024 19:00:49,15-03-2024 19:00:49,"0,266s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.2 (stage/11)"")",Chrome 122.0.0.0,,,15-03-2024 19:00:49,15-03-2024 19:00:50,"0,290s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 122.0.0.0,,,15-03-2024 19:00:50,15-03-2024 19:00:50,"0,662s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 122.0.0.0,,,15-03-2024 19:00:50,15-03-2024 19:00:51,"0,351s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 122.0.0.0,,,15-03-2024 19:00:51,15-03-2024 19:00:51,"0,332s",PASSED
delay(4),Chrome 122.0.0.0,,,15-03-2024 19:00:51,15-03-2024 19:00:55,"4,029s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 122.0.0.0,,,15-03-2024 19:00:55,15-03-2024 19:00:55,"0,283s",PASSED
,,,,,,,
Test Cases/Publisher/Create Publisher with Admin role (TC-49),Chrome 122.0.0.0,,,15-03-2024 19:00:57,15-03-2024 19:01:18,"20,618s",PASSED
"click(findTestObject(""Publishers/Publishers on the top-menu""))",Chrome 122.0.0.0,Open Publisher page on a dashboard,,15-03-2024 19:00:57,15-03-2024 19:00:58,"0,364s",PASSED
"click(findTestObject(""Publishers/Add Publisher btn""))",Chrome 122.0.0.0,Start Publisher creation process,,15-03-2024 19:00:58,15-03-2024 19:00:59,"1,322s",PASSED
"click(findTestObject(""Publishers/Publisher name input field""))",Chrome 122.0.0.0,,,15-03-2024 19:00:59,15-03-2024 19:01:00,"0,576s",PASSED
"setText(findTestObject(""Publishers/Publisher name input field""), ""KatalonAdmin"")",Chrome 122.0.0.0,Input Publisher name,,15-03-2024 19:01:00,15-03-2024 19:01:00,"0,743s",PASSED
"click(findTestObject(""Publishers/Publisher Password""))",Chrome 122.0.0.0,,,15-03-2024 19:01:00,15-03-2024 19:01:01,"0,334s",PASSED
"setText(findTestObject(""Publishers/Publisher Password""), ""123"")",Chrome 122.0.0.0,Setup publisher password,,15-03-2024 19:01:01,15-03-2024 19:01:01,"0,626s",PASSED
"click(findTestObject(""Publishers/Publisher type drop-down""))",Chrome 122.0.0.0,Choose Publisher Role,,15-03-2024 19:01:01,15-03-2024 19:01:02,"0,568s",PASSED
"click(findTestObject(""Publishers/Admin type""))",Chrome 122.0.0.0,,,15-03-2024 19:01:02,15-03-2024 19:01:03,"0,562s",PASSED
"click(findTestObject(""Publishers/add btn""))",Chrome 122.0.0.0,,,15-03-2024 19:01:03,15-03-2024 19:01:03,"0,762s",PASSED
