Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scrolling ticker,Chrome 123.0.0.0,,,22-04-2024 11:26:32,22-04-2024 11:30:28,"3m - 56,434s",FAILED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 123.0.0.0,,,22-04-2024 11:26:32,22-04-2024 11:26:45,"13,093s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,22-04-2024 11:26:32,22-04-2024 11:26:34,"1,479s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo"")",Chrome 123.0.0.0,,,22-04-2024 11:26:34,22-04-2024 11:26:36,"2,131s",PASSED
waitForPageLoad(3),Chrome 123.0.0.0,,,22-04-2024 11:26:36,22-04-2024 11:26:36,"0,087s",PASSED
maximizeWindow(),Chrome 123.0.0.0,,,22-04-2024 11:26:36,22-04-2024 11:26:36,"0,174s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:26:36,22-04-2024 11:26:37,"1,071s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:26:37,22-04-2024 11:26:38,"0,267s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.2 (stage/11)"")",Chrome 123.0.0.0,,,22-04-2024 11:26:38,22-04-2024 11:26:38,"0,006s",NOT_RUN
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 123.0.0.0,,,22-04-2024 11:26:38,22-04-2024 11:26:38,"0,594s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 123.0.0.0,,,22-04-2024 11:26:38,22-04-2024 11:26:38,"0,331s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 123.0.0.0,,,22-04-2024 11:26:38,22-04-2024 11:26:39,"0,325s",PASSED
delay(4),Chrome 123.0.0.0,,,22-04-2024 11:26:39,22-04-2024 11:26:43,"4,026s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 123.0.0.0,,,22-04-2024 11:26:43,22-04-2024 11:26:43,"0,294s",PASSED
,,,,,,,
Test Cases/Ticker/Send Ticker (TC-7),Chrome 123.0.0.0,using Compose Alert Drop-down menu,,22-04-2024 11:26:45,22-04-2024 11:27:31,"46,301s",PASSED
